genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
1382366.3	Lactobacillus plantarum 4_3	AYTU01000001	PATRIC	CDS	fig|1382366.3.peg.1	N654_0001	VBILacPla304815_0001		354	1307	+	954		hypothetical protein		PLF_1578_00020673	PGF_02011907			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.2	N654_0002	VBILacPla304815_0002		55	1680	+	1626		putative ATP-dependent Clp proteinase (ATP-binding subunit)	FIG01327433	PLF_1578_00000313	PGF_00405678			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.3	N654_0003	VBILacPla304815_0003		2048	2650	+	603		"Accessory gene regulator protein B "		PLF_1578_00020690	PGF_00280605			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.4	N654_0004	VBILacPla304815_0004		2769	4031	+	1263		hypothetical protein	FIG00001714	PLF_1578_00014390	PGF_00358410			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.5	N654_0005	VBILacPla304815_0005		4024	4767	+	744		response regulator	FIG00826122	PLF_1578_00005384	PGF_00378649			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.6	N654_0006	VBILacPla304815_0006		5180	5560	+	381		negative regulator of proteolysis	FIG00742854	PLF_1578_00007524	PGF_02049139			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.7	N654_0007	VBILacPla304815_0007		5718	7172	-	1455		Catalase (EC 1.11.1.6)	FIG00000313	PLF_1578_00004224	PGF_00416700	GO:0004096|catalase activity	1.11.1.6|Catalase	00380|Tryptophan metabolism;00630|Glyoxylate and dicarboxylate metabolism;00680|Methane metabolism
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.8	N654_0008	VBILacPla304815_0008		7518	7763	+	246		hypothetical protein	FIG00746833	PLF_1578_00003582	PGF_00251055			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.9	N654_0009	VBILacPla304815_0009		7780	7914	+	135		FIG00751684: hypothetical protein	FIG00751683	PLF_1578_00007846	PGF_02049220			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.10	N654_0010	VBILacPla304815_0010		8109	8657	+	549		Substrate-specific component FolT of folate ECF transporter	FIG00051957	PLF_1578_00007799	PGF_02049192			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.11	N654_0011	VBILacPla304815_0011		8853	9224	-	372		hypothetical protein	FIG00742395	PLF_1578_00004426	PGF_00317469			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.12	N654_0012	VBILacPla304815_0012		9691	10896	+	1206		Ferredoxin reductase	FIG00011423	PLF_1578_00004845	PGF_00004350			
1382366.3	Lactobacillus plantarum 4_3	AYTU01000002	PATRIC	CDS	fig|1382366.3.peg.13	N654_0013	VBILacPla304815_0013		11035	11721	-	687		N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	FIG00001145	PLF_1578_00005324	PGF_00023830	GO:0047465|N-acylglucosamine-6-phosphate 2-epimerase activity	5.1.3.9|N-acylglucosamine-6-phosphate 2-epimerase	00520|Amino sugar and nucleotide sugar metabolism
